,nome_agriturismo,indirizzo_agriturismo,telefono,attivo_da,pec,sito_internet,malga,azienda_zootecnica,fattoria_didattica,tot_posti_letto,tot_posti_tavola,degustazione,colazione,class_margherite,altitudine,latitudine,longitudine,comune,cap
17,BAGOLIN,FRAZ. VIGO - VIA VALLE N. 23,0463657818,1993,agritur.melchiorilivio@pec.it,NO SITO,NO,no,NO,9,25,NO,SI,3.0,452,2.7373,31.88644,Ton,38010
18,AGRITUR ODORIZZI,VIA F.LLI PINAMONTI N. 52 - FRAZ. RALLO,0463450294,1993,odorizzi.michele@cia.legalmail.it,www.agriturodorizzi.it,NO,no,NO,10,0,NO,NO,2.0,605,0.0,0.0,Ville d'Anaunia,38019
19,MARTINELLI LAURO,MASO DOSS N. 4,0461722125,1993,agriturmartinelli@pec.it,,NO,no,NO,0,50,SI,NO,3.0,832,45.9619181,11.2315121,Altopiano della Vigolana,38049
20,AGRITUR LE VALE,LOC. VALE,043964722,1995,martina.simoni@pec.agritel.it,,NO,no,NO,18,50,NO,SI,3.0,746,43.98211,-117.23823,Primiero San Martino di Castrozza,38054
21,GIRONIMI VITTORIO,VIA F. FILZI N. 8,0463432396,1996,vgironimi@pec.it,,NO,no,NO,2,0,NO,NO,2.0,724,2.7373,31.88644,Novella,38021
22,GIRONIMI FRANCESCO,P.ZZA CLAUSURA N. 6,0463432618,1997,francesco.gironimi@pec.it,,NO,no,NO,5,0,NO,NO,2.0,724,26.66667,87.16667,Novella,38021
23,AGRITUR SOTTOILMELO,VIA DEL BRÈNZ N. 40 - FRAZ. BORDIANA,0463901632,1997,agritur@pec.agritursottoilmelo.it,www.agritursottoilmelo.it,NO,no,NO,28,0,NO,SI,4.0,670,0.0,0.0,Caldes,38022
24,ZAMBOTTI FABIO,LOC. DAI LOMASONE ,0465701213,1997,fabio.zambotti@pec.agritel.it,,NO,no,NO,6,0,NO,NO,2.0,492,0.0,0.0,Comano Terme,38077
25,MASO SANTA ROMINA,LOC. PIANAZZI,0439719459,1997,mirella.simoni@pec.agritel.it,,NO,SI,NO,0,33,NO,NO,2.0,757,0.0,0.0,Canal San Bovo,38050
26,MAS DALA VAL,MASO MOLIN N. 19,0463870038,1997,seppi.dario@lamiapec.it,www.masdalaval.it,NO,SI,SI,18,60,SI,SI,3.0,1175,2.7373,31.88644,Ruffrè-Mendola,38010
27,SOLASNA,FRAZ. S. GIACOMO,0463902073,1997,andreisnicoletta@pec.it,www.agritursolasna.it,NO,no,SI,5,25,SI,SI,4.0,697,0.0,0.0,Caldes,38022
28,FANTELLI,VIA S.  VALENTI N. 41,0463973376,1997,nicola.fantelli@pec.agritel.it,,NO,SI,NO,11,0,NO,NO,3.0,766,2.7373,31.88644,Dimaro Folgarida,38025
29,AGRITURISMO DELLA GENS PAOLAZZI,LOC. PONCIACH N.7,3348656271,1997,rocco.paolazzi@pec.agritel.it,,NO,no,NO,4,60,NO,NO,3.0,673,2.7373,31.88644,Altavalle,38092
30,MINA,P.ZZA DON V. PISONI,3409381230,1998,no pec,,NO,no,NO,10,0,NO,NO,1.0,468,0.0,0.0,Madruzzo,38076
31,AGRITUR MONTE OZOL,VIA F. FILZI N. 27,3474711167,1998,marco.fellin@pec.agritel.it,www.agriturmonteozol.it,NO,no,NO,20,0,NO,NO,3.0,726,2.7373,31.88644,Novella,38021
32,MONTE VELO,LOC. MONTE VELO,0464517021,1998,fulvio.torboli@pec.agritel.it,,NO,no,NO,8,40,SI,SI,2.0,1100,37.9761,22.75985,Arco,38062
33,AGRITUR GRAIFF,VIA DI S. BARTOLOMEO N. 72,0463875298,1998,graiff.rita@pec.it,,NO,no,NO,17,0,NO,SI,2.0,924,51.0,16.5,Romeno,38010
34,SALIZZONI VALTER,VIA A. VALENTINI N. 31,0464834087,1998,salizzoni@pec.it,,NO,no,NO,22,0,SI,SI,3.0,187,2.7373,31.88644,Calliano,38060
35,ALPINO,VIA ALLA CROCE N. 9 ,0461654298,1999,giuseppe.daldoss@pec.agritel.it,,NO,no,NO,13,25,NO,SI,2.0,864,27.58333,87.33333,Cavedago,38010
36,NONES,LOC. MEDOINA N. 2,0462341124,1999,luigina.zanol@pec.agritel.it,,NO,no,NO,6,0,NO,NO,3.0,965,46.2834438,11.4419487,Castello-Molina di Fiemme,38030
37,MASO FRON,VIA SEGANTINI N. 49,3355468442,2000,piergiorgio.trapin@pec.agritel.it,,NO,no,NO,21,0,NO,NO,2.0,219,46.2116688,11.1225634,Mezzocorona,38016
38,BELLA VISTA,LOC. CORTESANO - VIA CANOPE N. 62 - MEANO,0340526939,2000,ferruccio.pisetta@cia.legalmail.it,,NO,no,NO,0,30,NO,NO,2.0,500,42.44661,-8.78122,Trento,38121
39,CHELODI,VIA PILLOCCO N. 3,0462342932,2000,massimo.chelodi@pec.agritel.it,,NO,SI,NO,6,0,NO,NO,2.0,1000,46.2856267,11.4551949,Cavalese,38033
40,MALGA SALANZADA,LOC. SALANZADA,0462342932,2000,massimo.chelodi@pec.agritel.it,,SI,no,NO,0,70,NO,NO,2.0,1000,46.27505,11.46547,Cavalese,38033
41,LA TRISA,VIA ALLA SEGA  2,665-503009,2000,infofattoriarendena@pec.agritel.it,www.fattoria-rendena.it,NO,SI,SI,0,60,SI,NO,4.0,770,46.147379,10.7715079,Giustino,38086
42,AGRITUR LA LANTERNA,LOC. MASI DI SORNI N.12,0461870003,2000,alberto.giovannini@pec.it,,NO,no,NO,0,40,NO,NO,2.0,238,2.7373,31.88644,Lavis,38015
43,MADDALENE,VIA LANZA N. 24,0463530276,2000,agnese.kollmann@pec.agritel.it,http://spazioinwind.libero.it/agriturmaddalene,NO,no,NO,6,0,NO,NO,4.0,1100,2.7373,31.88644,Rumo,38020
44,DEROMEDI,VIALE DEGASPERI N. 118,3487629963,2000,agriturderomedi@pec.it,www.deromedi.it,NO,no,NO,15,0,NO,SI,3.0,658,2.7373,31.88644,Cles,38023
45,AL RANCH,MASO COFLARI N. 9,335-434161,2000,massimo.seppi@pec.agritel.it,www.coflariranch.it,NO,SI,SI,5,50,NO,SI,4.0,1175,46.4133457,11.1821854,Ruffrè-Mendola,38010
46,AL MARTER,VIA BISTI N. 2,0464596007,2001,bruno.ribaga@pec.agritel.it,www.agrituralmarter.it,NO,no,NO,13,35,NO,SI,3.0,744,47.28167,8.45023,Ledro,38067
47,EDEN MARONE,VIA MARONE N. 15,0464521520,2001,valter.girardelli@pec.agritel.it,,NO,no,NO,27,53,SI,SI,4.0,73,45.8966638,10.8383443,Riva del Garda,38066
48,MASO CORRADINI,VIA MILANO N. 28,0462231010,2001,monica.giupponi@pec.agritel.it,www.agriturismocorradini.it,NO,SI,SI,20,45,SI,SI,5.0,960,46.2802891,11.4334368,Castello-Molina di Fiemme,38030
49,AI MOLINI,VIA MOLINI N. 8 (P.ED. 227 ALLOGGIO) E (P.ED. 274 RISTORO),3888152055,2001,zenimichele@pec.it,,NO,no,NO,0,40,NO,NO,3.0,595,2.7373,31.88644,San Michele all'Adige,38010
50,"AZ. AGRICOLA AGOSTINI DI AGOSTINI DARIO, PATRIZIA E STEFANO S.S.",VIA SANTUARIO N. 25 - FRAZ. TAVON,0463536454,2001,azagragostiniss@pec.it,www.agritur-agostini.it,NO,no,SI,22,60,NO,SI,4.0,830,0.0,0.0,Predaia,38012
51,VINERIA DE TARCZAL,VIA G. B. MIORI N. 4 - FRAZ. MARANO,0464409134,2002,detarczal@pec.it,www.detarczal.com,NO,no,NO,0,40,NO,NO,3.0,240,45.696,11.43237,Isera,38060
52,PRA-SEC,VIA DI MALEBIS N. 1A - ROMAGNANO,0461349204,2002,agriturpra-sec@pec.it,,NO,no,NO,29,0,NO,NO,2.0,200,45.63279,8.38697,Trento,38121
53,MASO VAL AVERTA,VIA PRENNER N. 11,0462571463,2002,masovalaverta@pec.it,,NO,SI,NO,12,40,NO,SI,4.0,1003,2.7373,31.88644,Ziano di Fiemme,38030
54,AGRITUR AL FIUME,VIA GRANDE CIRCONVALLAZIONE N. 2,0464519640,2002,alfiume@pec.trovarti.it,,NO,no,NO,26,0,NO,NO,2.0,91,45.9090085,10.8788249,Arco,38062
55,MASO LIZZONE,LOC. LIZZONE,3355945728,2002,brighentilino@pecancit.it,www.masolizzone.com,NO,no,NO,14,0,NO,SI,2.0,120,0.0,0.0,Dro,38074
56,BRESCIANI,VIA FORNACI N. 27 - FRAZ. ROMARZOLLO,0464518127,2002,mario.bresciani@pec.agritel.it,,NO,no,NO,12,0,NO,NO,2.0,91,0.0,0.0,Arco,38062
57,MASO TESADRI,LOC. BORCENIGA N. 195 - FRAZ. JAVRÈ,33/6457099,2002,cantonatidino@pec.it,,NO,no,NO,21,0,NO,NO,3.0,608,0.0,0.0,Porte di Rendena,38094
58,DA VALENTINO,VIA CARMELO N. 1,0461583063,2002,perlot.francesco@cia.legalmail.it,,NO,no,NO,0,25,NO,NO,2.0,958,47.27541,8.4897,Fai della Paganella,38010
59,AL PICCHIO,CONTRADA SDRUZZINA' 20,0464672825,2002,aziendaagricolatroiani@pec.coldiretti.it,www.agrituralpicchio.it,NO,no,NO,20,0,NO,SI,3.0,160,45.74063,10.9792,Ala,38061
60,MASO TAFOL,MASO TAFOL,33/3655523,2002,bruno.clauser@pec.agritel.it,NO SITO,NO,no,NO,12,0,NO,SI,2.0,890,46.414828,11.0710166,Novella,38021
61,MALGA MORTIGOLA,LOC. MORTIGOLA N. 30,0464391555,2003,leonardo.bongiovanni1973@pec.agritel.it,www.agriturmalgamortigola.it,SI,no,SI,13,25,SI,SI,3.0,1200,2.7373,31.88644,Brentonico,38060
62,AGRITUR MICHELOTTI GIANCARLO,VIA SOCCESURE N. 2,0464516272,2003,no pec,,NO,no,NO,17,0,NO,NO,2.0,90,45.9144172,10.9036426,Arco,38062
63,CORTE DELLE RONDINI,VIA CARLO DEVIGILI N. 29,0461604426,2003,fabio.bebber@pec.agritel.it,,NO,no,NO,9,0,NO,SI,4.0,229,46.2096443,11.0988363,Mezzolombardo,38017
64,MALGA SAN PELLEGRINO,LOCALITÀ SAN PELLEGRINO,0462573020,2003,lanegritella@pec.coldiretti.it,,SI,no,NO,0,60,NO,NO,2.0,1184,45.83443,9.66753,Moena,38035
65,AGRITUR RENETTA,VIA DI CAMPO N. 12,3491728720,2003,giovanni.menapace@pec.agritel.it,www.agritur-renetta.it,NO,no,NO,29,0,NO,SI,4.0,546,46.3295908,11.0520204,Ville d'Anaunia,38019
66,MALGA MORTIGOLA,LOC. MORTIGOLA N. 4,0464391555,2003,marco.bongiovanni1978@pec.agritel.it,www.agriturmalgamortigola.it,SI,no,NO,0,60,SI,NO,2.0,1200,26.58333,87.91667,Brentonico,38060
67,MALGA DI FONDO,LOC. MALGA,3357560904,2003,aziendaagricolaalcastello@pec.confagricolturatn.it,,SI,no,NO,0,35,NO,NO,,987,0.0,0.0,Borgo d'Anaunia,38013
68,AGRITUR CASA AL CAMPO,VIA AL PONT N. 4,3385008438,2003,stefano.tisi@pec.agritel.it,www.casalcampo.com,NO,no,NO,14,30,NO,SI,5.0,770,46.141852,10.7689355,Giustino,38086
69,MASO POMAROLLI,LOC. MASO POMAROLLI N. 10,0461684570,2003,fratellifranch@pec.confagricolturatn.it,,NO,no,SI,15,15,SI,SI,4.0,630,2.7373,31.88644,Giovo,38030
70,AGRITUR LE ROBIE,LOC. LE ROBIE,3492427952,2003,vasco.andreolli@pec.agritel.it,www.lerobie.it,NO,no,SI,6,10,NO,SI,2.0,800,0.0,0.0,Brentonico,38060
71,MASO ALLE ROSE,VIA AL CANAL 1,3333880865,2004,diego.pederzolli@cia.legalmail.it,,NO,no,SI,18,38,SI,SI,4.0,669,-36.66667,-58.58333,Bleggio Superiore,38071
72,PRA' DEI PEZI,LOC. MESOLE N. 15,0461782043,2004,sandri@pec.confagricolturatn.it,,NO,no,NO,0,60,SI,NO,3.0,356,46.0394134,11.5263236,Castel Ivano,38059
73,CASA DONATI,FRAZ. BONO,0465702380,2004,duchidonati@pec.it,,NO,no,NO,6,0,NO,NO,2.0,523,35.90868,-90.80262,Comano Terme,38077
74,CASA ESSENIA,"VIA MON, 8",0465621965,2004,casaessenia@pec.agritel.it,www.casaessenia.it,NO,no,SI,8,0,SI,SI,3.0,440,16.25,97.75,Borgo Chiese,38083
75,LA CANONICA,"LOC. TRAVERSARA, 8",0463874399,2004,walter.menghini@cia.legalmail.it,www.agriturismo-lacanonica.it,NO,no,NO,15,0,SI,NO,4.0,792,44.41121,12.02522,Novella,38021
76,FANTELLI LUCIANO,VIA S. VALENTI N. 45,3393941264,2004,florfan@pec.it,,NO,no,NO,8,0,NO,NO,2.0,766,2.7373,31.88644,Dimaro Folgarida,38025
77,MUSEO DEL MIELE,VIA TOBIA N. 4 ,0464783315,2004,amelio.marigo@pec.agritel.it,,NO,SI,SI,0,0,NO,NO,2.0,1171,26.58333,87.91667,Lavarone,38046
78,PERLAIE,LOC. PERLAIE VIA DOLOMITI 5,0462342211,2004,info@pec.agriturperlaie.it,,NO,SI,NO,11,0,NO,NO,2.0,0,26.66667,87.5,Cavalese,38033
79,AGRITUR MASO PAN,LOC. PAN,0465804500,2004,mauro.polla@pec.agritel.it,www.agriturmasopan.it,NO,SI,NO,18,55,SI,SI,4.0,723,6.86814,101.25009,Caderzone Terme,38080
80,AGRITUR MANONCIN,LOC. MANONCIN,0465674393,2005,manoncin@pec.it,www.agriturmanoncin.it,NO,no,SI,8,10,NO,SI,3.0,790,0.0,0.0,Valdaone,38091
81,AGRITUR MASO OLIVA,VIA C. BATTISTI N. 70,0461605637,2004,paolo.devigili@pec.agritel.it,,NO,no,NO,0,20,SI,NO,2.0,0,2.7373,31.88644,Mezzocorona,38016
82,AZ.AGR. PIONER FRANCO,"VIA MARCHI, N. 15",0461764217,2005,pec.clienti@aclitrentine.legalmail.it,,NO,no,SI,0,0,NO,NO,1.0,0,46.0675969,11.4345691,Ronchi Valsugana,38050
83,AGRITUR CASA MIRAMONTI,VIA APENA N.3,0463536296,2005,no pec,,NO,no,NO,5,0,NO,SI,2.0,0,46.3498085,11.0842682,Predaia,38012
84,AGRITUR ALLA DECIMA,LOC.MATTARELLO - DECIMA N.26,0461944121,2005,posta@pec.ladecima.net,,NO,no,NO,26,0,NO,SI,3.0,200,2.7373,31.88644,Trento,38121
85,L'ABETE ROSSO,LOC. S. BARBARA,3496425620,2005,lorenzocampedelli@pec.it,,NO,no,SI,0,0,NO,NO,1.0,1250,43.58036,13.02736,Ronzo-Chienis,38060
86,IL GALLO,PATONE LOC. ALLA GIURA 1,3497326990,2005,marzio.patuzzi@cia.legalmail.it,,NO,no,NO,0,25,NO,NO,4.0,200,47.27541,8.4897,Isera,38060
87,AGRITUR DE PODA,VIA NAZIONALE N. 62,0461652067,2005,antonio.depoda@pec.agritel.it,NO SITO,NO,no,SI,20,0,NO,NO,2.0,574,46.299183,11.0310887,Contà,38093
88,CASA MELA,LOC.TOVARE N.16,3396856483,2005,agriturcasamela@pec.it,,NO,no,NO,18,0,NO,SI,3.0,400,2.7373,31.88644,Predaia,38012
89,LA CA' SUL LAGO,VIA DEI CAGNOTI N. 5 - 1,3408619298,2005,ioriatti.tarcisio@cia.legalmail.it,,NO,no,NO,15,60,SI,SI,4.0,800,47.27541,8.4897,Baselga di Pinè,38042
90,AGRITUR LE PERGOLE,"VIA CESUINO, N. 2/A",0464419035,2005,andrea.zandonai@pec.agritel.it,www.agriturlepergole.com,NO,no,NO,21,0,NO,SI,2.0,380,-5.875,39.32,Villa Lagarina,38060
91,AGRITUR SOLE BLU,"VIA 4 NOVEMBRE, N. 32",0461605242,2005,enrico.dalpiaz@pec.it,,NO,no,NO,25,0,NO,SI,3.0,0,2.7373,31.88644,Mezzocorona,38016
92,AGRITUR VAL D'ADIGE,"GARDOLO LOC. RONCAFORT, N. 78/A",3495530601,2005,diegobanal@pec.confagricolturatn.it,,NO,no,NO,21,0,NO,SI,3.0,0,-5.875,39.32,Trento,38121
93,MASO TALPINA,"LOC. TALPINA, N. 3",0464918532,2005,bisoffi.talpina@pec.confagricolturatn.it,,NO,no,NO,12,0,NO,NO,2.0,500,45.8363003,10.9902047,Mori,38065
94,AGRITUR AL CASTELLO,TOSS - LOC. NOSINO 1,0461657832,2005,vittorio.chilovi@cert.azrete.net,,NO,no,NO,7,0,NO,SI,3.0,0,47.27541,8.4897,Ton,38010
95,MASTRANGELO SIBILLA," LOC. LAGOLO VIA PRÀ BORAN, N. 6",3393362509,2005,sibilla.mastrangelo@pec.agritel.it,,NO,SI,SI,22,0,SI,SI,4.0,0,26.66667,87.16667,Madruzzo,38076
96,PEDROTTI LORENZO,POVO - VIA BORINO N. 73/A,0461811688,2006,lorenzo.pedrotti@pec.agritel.it,,NO,SI,SI,0,0,NO,NO,2.0,0,-5.875,39.32,Trento,38121
97,PIAZERA,VIA DOSSO DI BARCO N. 5,0464802743,2006,fedele.benedetti@pec.agritel.it,,NO,no,NO,10,0,NO,SI,2.0,0,45.8869735,10.949533,Ronzo-Chienis,38060
98,AGRITUR MASO GRENER,LOC. MASI DI PRESSANO 21,0461871567,2004,cinzia.giacomoni@pec.agritel.it,,NO,no,NO,16,0,NO,SI,4.0,280,46.1488652,11.1122994,Lavis,38015
99,PATERNOSTER ANDREA,"VIA CASTEL THUN, N. 8",0461657929,2006,mielithun@pec.it,,NO,no,SI,0,0,NO,NO,,452,46.2643061,11.0800999,Ton,38010
100,AGRITUR MASO PRA' CAVAI,"FRAZ. MADICE, LOC. MATON 1E 2",0465779438,2006,masopracavai@pec.it,www.masopracavai.com,NO,no,NO,17,0,SI,SI,4.0,600,47.28167,8.45023,Bleggio Superiore,38071
101,MASO MONGIDORI,LOC. MASO MONGIDORI,0461564360,2006,vitale.grosselli@pec.agritel.it,,NO,SI,SI,0,25,SI,NO,3.0,468,0.0,0.0,Madruzzo,38076
102,AGRITUR ALLE QUATTRO STAGIONI,VIA SANGUARNA N.  8/A E VIA DELLA CAVA N. 12,3396378243,2006,ivanykovych.halyna@cgn.legalmail.it,,NO,no,NO,14,0,NO,NO,3.0,746,0.96675,33.82622,Primiero San Martino di Castrozza,38054
103,AGRITUR WIDMANN RENZO,"VIA 4 NOVEMBRE, N. 59",0463536927,2006,renzo.widmann@pec.agritel.it,,NO,no,SI,21,0,NO,SI,2.0,831,46.3485547,11.0856891,Predaia,38012
104,BIOAGRITUR LE MILLEMELE,"VIA S. VIGILIO, N. 22",3383493331,2006,rampanelligiuseppe@pec.coldiretti.it,,NO,no,NO,30,25,SI,SI,3.0,229,46.2200494,11.0496772,Spormaggiore,38010
105,DALAIP DEI PAPE,LOC. DALAIBI,043962875,2006,agriturdalaip@pec.it,,NO,SI,SI,11,30,SI,SI,3.0,750,0.0,0.0,Primiero San Martino di Castrozza,38054
106,AGRITUR MANGIASA,"LOC. MANGIASA, N. 2",0463902123,2006,michelezanella@pec.it,www.agriturmangiasa.it,NO,no,NO,3,0,NO,NO,4.0,900,47.28167,8.45023,Malé,38027
107,AGRICAMPEGGIO AI GAGGI,"LOC. CLAIANO, 5 E 7 – TERMENAGO",0463751885,2005,diego.fezzi@pec.agritel.it,www.aigaggi.it,NO,SI,NO,7,0,NO,SI,4.0,925,46.3163,10.76606,Pellizzano,38020
108,MALGA LOZEN,LOC. GUNE,3495326237,2006,bruno.orsega@pec.agritel.it,,SI,no,SI,0,60,NO,NO,3.0,640,0.0,0.0,Mezzano,38050
109,LE ANTICHE GIARE,"VIA FERSINA, 30",3486563634,2006,armando.ciurletti@pec.agritel.it,,NO,no,NO,7,0,NO,SI,2.0,200,46.0406056,11.124124,Trento,38121
110,MASO LE 4 STAGIONI,LOC. GERONE,0464531120,2006,masole4stagioni@pec.coldiretti.it,,NO,no,SI,15,25,SI,SI,5.0,0,45.26757,10.30612,Arco,38062
111,PEDERZOLLI,LOC. PATOM,0461564608,2006,mariano.pederzolli@pec.agritel.it,,NO,no,NO,13,0,NO,NO,1.0,0,0.0,0.0,Arco,38062
112,AGRITUR BALCONE SUL BRENTA,"PIAZZA CENTRALE, N. 19",0463463175,2006,elena.sembianti@pec.agritel.it,,NO,no,NO,10,0,NO,NO,,0,46.307068,11.1183733,Predaia,38012
113,AGRITUR SARTORI,"VIA DE LE CLOSURE, N. 4",0463902593,2006,marco.sartori@pec.agritel.it,www.agrialpappartamenti.it,NO,no,NO,21,0,NO,NO,2.0,720,46.3435246,10.9049498,Croviana,38027
114,AGRITUR AL BAIT,LOCALITÀ MEANO 16,3283626483,2007,marco.osti62@cia.legalmail.it,,NO,no,SI,7,10,NO,SI,3.0,0,46.2109271,11.0474994,Spormaggiore,38010
115,AGRIHOUSE,"FRAZ. DERCOLO - VICOLO DELLA ROTONDA, N. 3",0461655818,2006,flavio.pezzi@cia.legalmail.it,www.agrihouse.tn.it,NO,no,NO,7,0,NO,SI,3.0,450,0.0,0.0,Campodenno,38010
116,MASO VILLA WARTH,LOC. MEANO VIA CASTEL GARDOLO 5,0461990786,2007,francescomoser@pec-it.it,,NO,no,NO,22,0,SI,NO,4.0,0,26.66667,87.5,Trento,38121
117,AL PARADIS,"FRAZ. PORTOLO VIA AL PARADIS, 1",0463450366,2007,mario.joris@pec.agritel.it,,NO,no,NO,21,0,NO,SI,4.0,0,47.27541,8.4897,Ville d'Anaunia,38019
118,BOTTAMEDI MATTEO,"VIA PEGORAR, N. 15",3356876792,2006,matteo.bottamedi@cia.legalmail.it,,NO,SI,SI,0,0,NO,NO,,0,46.1696976,10.9988768,Andalo,38010
119,CESA CIASATES,"FRAZ. GRIES LOC. COSTA, N. 14",0462602520,2007,debertolremo@legalmail.it,,NO,SI,NO,30,0,NO,NO,3.0,0,2.7373,31.88644,Canazei,38032
120,ZUCAL IVO,"VIA ENDRICI, N. 48",0463876022,2006,ivo.zucal@pec.agritel.it,,NO,no,NO,6,0,NO,NO,3.0,0,2.7373,31.88644,Romeno,38010
121,MASO PALU',"VIA FONTANA, N. 16",0461760804,2007,masopalu@pec.it,,NO,no,NO,15,0,NO,NO,2.0,0,2.7373,31.88644,Torcegno,38050
122,MALGA PRA' ALPESINA,LOC. DOSSIOLI,3201568674,2007,orazio.schelfi@pec.agritel.it,www.agriturprimofiore.it,SI,SI,NO,0,0,SI,NO,2.0,0,0.0,0.0,Avio,38063
123,AGRITUR PRIMO FIORE,LOCALITÀ FESTA 6/A,3297947758,2014,orazio.schelfi@pec.agritel.it,www.agriturprimofiore.it,NO,SI,SI,11,40,SI,SI,4.0,850,38.5,-0.5,Brentonico,38060
124,MASO PERTICA,"VIA STAZIONE, N. 9",0462231532,2007,marina.bonelli@pec.agritel.it,,NO,no,NO,14,35,SI,SI,4.0,0,27.58333,87.33333,Castello-Molina di Fiemme,38030
125,AGRITUR SCARENA,"VIA GUSELINI, N. 3/A",043967786,2007,antonio.pradel@pec.confagricolturatn.it ,,NO,no,NO,17,0,NO,NO,2.0,0,-5.875,39.32,Imer,38050
126,AGRITUR MONTE PIN,"FR. PREGHENA, N. 49",0463535033,2007,pancherimario@pec.confagricolturatn.it,www.agriturmontepin.it,NO,no,SI,16,0,SI,SI,4.0,800,2.7373,31.88644,Livo,38020
127,AGRITUR GIRASOLE,VIA S. GIORGIO 3,3297931886,2007,gianluigi.zadra@pec.agritel.it ,www.agriturgirasole.it,NO,no,NO,25,0,SI,SI,2.0,90,45.8996403,10.8693197,Arco,38062
128,MASO MAROCC,FRAZIONE POIA 90,0465702098,2007,lino.sansoni@pec.agritel.it,www.masomarocc.it,NO,no,NO,23,35,NO,SI,4.0,700,59.0,57.0,Comano Terme,38077
129,BORTOLAS LUISA,"VIA CERIN, N. 10",0462814731,2005,luisa.bortolas@pec.agritel.it,,NO,SI,SI,0,0,NO,NO,,0,2.7373,31.88644,Tesero,38038
130,MASO FONTANE,"LOC. FIBBIE, N. 6",0464518543,2007,simonetta.tonelli@pec.agritel.it,www.agriturmasofontane.it,NO,no,NO,26,0,NO,NO,2.0,150,45.908568,10.9015821,Arco,38062
